#{"t_start": 1762470392.042762, "env_id": "None"}
r,l,t
46.0,200,0.472824
27.2,200,0.50498
22.3,200,0.537496
12.5,200,0.570945
27.5,200,0.605273
31.5,200,0.638549
34.7,200,0.671822
22.3,200,0.704325
30.2,200,0.73857
27.6,200,0.771568
33.4,200,0.804338
37.0,200,0.836577
25.5,200,0.871696
42.6,200,0.904476
0.7,200,0.938747
24.9,200,0.972748
23.0,200,1.007535
53.3,200,1.040335
39.3,200,1.0756
25.6,200,1.109303
32.7,200,1.14545
30.2,200,1.181483
33.6,200,1.215309
38.3,200,1.248899
36.7,200,1.28527
28.7,200,1.319039
22.9,200,1.353827
25.4,200,1.388713
34.1,200,1.450788
28.1,200,1.486979
8.8,200,1.522712
27.4,200,1.557
45.0,200,1.594714
27.2,200,1.629503
-1.2,200,1.664742
34.8,200,1.699988
23.4,200,1.738504
28.0,200,1.774765
33.6,200,1.810438
25.4,200,1.846047
9.7,200,1.884483
15.8,200,1.92346
4.2,200,1.960561
7.4,200,1.998879
38.6,200,2.036449
15.1,200,2.074462
27.8,200,2.110889
28.5,200,2.149618
42.2,200,2.187382
28.9,200,2.226389
24.1,200,2.263629
6.2,200,2.302037
22.1,200,2.341638
30.7,200,2.378746
34.1,200,2.416036
6.1,200,2.455415
56.0,200,2.493715
36.0,200,2.53233
44.1,200,2.569653
11.5,200,2.607836
57.8,200,2.646673
11.5,200,2.685455
22.0,200,2.723912
5.4,200,2.764058
58.8,200,2.81662
39.8,200,2.973811
9.7,200,3.106207
19.7,200,3.219664
32.6,200,3.268234
30.9,200,3.30925
3.9,200,3.348185
58.5,200,3.388215
50.8,200,3.429693
7.6,200,3.470773
21.2,200,3.511129
54.7,200,3.550687
47.1,200,3.591566
5.4,200,3.633454
5.2,200,3.673705
21.1,200,3.716391
13.8,200,3.758707
11.9,200,3.799965
41.9,200,3.840885
31.1,200,3.880803
20.8,200,3.924644
16.5,200,3.966369
44.9,200,4.006059
37.8,200,4.047893
25.5,200,4.091009
38.5,200,4.132909
29.0,200,4.173959
30.8,200,4.215308
22.8,200,4.260694
51.9,200,4.302848
39.3,200,4.343994
46.9,200,4.385488
30.5,200,4.42871
8.0,200,4.472341
27.0,200,4.514116
52.6,200,4.556349
43.5,200,4.600378
54.3,200,4.642279
55.9,200,4.684393
41.8,200,4.726545
29.0,200,4.771088
22.5,200,4.813607
32.4,200,4.85567
58.5,200,4.898065
30.0,200,4.941651
6.0,200,4.985349
46.5,200,5.027212
25.1,200,5.072342
29.9,200,5.116166
23.0,200,5.158661
56.9,200,5.200604
20.9,200,5.242696
52.3,200,5.286413
45.2,200,5.327914
37.5,200,5.370148
8.9,200,5.414205
35.4,200,5.457253
22.0,200,5.502589
58.5,200,5.543581
13.0,200,5.587781
57.7,200,5.631206
52.2,200,5.672847
32.9,200,5.715485
35.4,200,5.758277
33.0,200,5.802044
39.9,200,5.843876
40.0,200,5.886162
15.9,200,5.93112
48.4,200,5.976308
42.5,200,6.020806
14.0,200,6.064531
33.1,200,6.106069
58.4,200,6.149345
49.8,200,6.190965
23.7,200,6.234039
48.2,200,6.275523
30.4,200,6.320882
39.2,200,6.364445
1.7,200,6.407158
