#{"t_start": 1762470199.700185, "env_id": "None"}
r,l,t
57.3,200,0.463437
49.4,200,0.491094
39.7,200,0.518798
57.2,200,0.547085
57.8,200,0.575075
11.5,200,0.604929
3.7,200,0.633092
35.2,200,0.662076
35.4,200,0.690466
31.4,200,0.719395
57.4,200,0.985716
18.5,200,1.013959
57.9,200,1.040648
30.4,200,1.069851
33.3,200,1.098775
56.2,200,1.126149
40.8,200,1.153734
57.6,200,1.181955
19.7,200,1.234535
21.5,200,1.267957
38.0,200,1.522923
54.4,200,1.550923
52.4,200,1.578467
26.1,200,1.608056
30.7,200,1.63607
51.4,200,1.66365
46.7,200,1.691382
44.1,200,1.719867
45.4,200,1.747137
35.2,200,1.775314
22.8,200,2.027649
30.9,200,2.056013
58.0,200,2.083504
44.8,200,2.111289
58.0,200,2.139823
28.8,200,2.167277
56.4,200,2.194552
11.4,200,2.224596
31.1,200,2.252594
2.9,200,2.28183
59.0,200,2.532565
27.3,200,2.563461
50.5,200,2.591314
6.5,200,2.619919
39.8,200,2.649393
57.9,200,2.67681
25.6,200,2.705528
19.4,200,2.73403
25.8,200,2.76364
36.7,200,2.791666
57.3,200,2.818935
-0.6,200,3.07251
1.9,200,3.102648
30.5,200,3.131675
56.2,200,3.159866
23.6,200,3.190458
29.3,200,3.219574
1.7,200,3.248851
58.4,200,3.277965
27.9,200,3.307153
3.4,200,3.336433
49.4,200,3.594682
41.3,200,3.622983
24.9,200,3.651942
57.8,200,3.679771
33.0,200,3.709384
48.9,200,3.736481
7.5,200,3.765016
58.0,200,3.791908
35.0,200,3.820481
47.5,200,3.848154
26.9,200,4.109314
51.1,200,4.137705
28.0,200,4.166486
38.3,200,4.194301
48.0,200,4.22336
38.0,200,4.251315
32.9,200,4.279918
30.1,200,4.308595
57.0,200,4.337078
32.4,200,4.365768
20.2,200,4.629094
5.9,200,4.659096
11.2,200,4.687931
28.5,200,4.715933
40.9,200,4.744925
0.9,200,4.775068
13.9,200,4.803839
20.9,200,4.832572
26.0,200,4.862099
57.6,200,4.889673
57.6,200,4.918097
2.2,200,5.178903
58.3,200,5.206973
20.4,200,5.236764
58.1,200,5.264552
33.3,200,5.293099
52.4,200,5.319942
-0.4,200,5.348103
57.9,200,5.376603
57.6,200,5.404088
33.3,200,5.432619
23.7,200,5.686054
22.5,200,5.714405
5.0,200,5.744231
25.8,200,5.772246
25.5,200,5.801017
46.7,200,5.829142
19.6,200,5.857407
10.6,200,5.887542
58.0,200,5.916656
22.5,200,5.946373
30.7,200,6.207208
24.3,200,6.236216
32.9,200,6.264948
37.0,200,6.29369
22.2,200,6.324094
57.4,200,6.352334
23.3,200,6.382027
24.8,200,6.410672
20.3,200,6.441193
57.4,200,6.468919
54.0,200,6.731297
3.8,200,6.761287
21.1,200,6.790046
50.2,200,6.817907
30.6,200,6.847294
28.1,200,6.875493
55.2,200,6.902846
19.4,200,6.931346
31.6,200,6.960729
56.1,200,6.988146
55.5,200,7.015471
55.1,200,7.274517
16.5,200,7.304738
23.8,200,7.333769
36.4,200,7.363991
22.0,200,7.392985
31.2,200,7.422358
33.4,200,7.451132
32.2,200,7.480862
41.2,200,7.509183
44.4,200,7.537709
40.6,200,7.800043
25.5,200,7.829492
25.9,200,7.858468
56.1,200,7.88731
39.4,200,7.915857
55.8,200,7.943604
43.8,200,7.971908
21.7,200,8.001578
43.0,200,8.02959
43.1,200,8.057799
49.3,200,8.312149
29.6,200,8.34135
31.4,200,8.37022
19.8,200,8.400533
56.5,200,8.428252
44.4,200,8.456735
22.7,200,8.485899
19.0,200,8.516238
43.7,200,8.544919
16.1,200,8.573615
40.8,200,8.834627
40.1,200,8.863444
22.4,200,8.892829
44.6,200,8.92152
32.2,200,8.951524
55.0,200,8.979093
55.9,200,9.006107
27.6,200,9.035462
40.4,200,9.063717
55.8,200,9.091707
2.4,200,9.121706
53.7,200,9.400173
35.5,200,9.42899
16.0,200,9.458552
33.7,200,9.487227
18.8,200,9.516393
56.0,200,9.544467
35.8,200,9.574842
42.8,200,9.603502
45.6,200,9.631542
30.3,200,9.660535
41.4,200,9.916379
50.1,200,9.944335
33.5,200,9.972742
36.4,200,10.002638
45.7,200,10.030503
54.7,200,10.058188
42.1,200,10.086826
56.5,200,10.114424
19.8,200,10.142588
38.4,200,10.17034
22.6,200,10.423847
39.3,200,10.451553
56.0,200,10.479245
26.2,200,10.508842
57.0,200,10.53642
